CustomerID,Shopping Basket,Gender,Age,Store Type,Value Products,Brand Products,Top Fresco Products
20358063,48.81,Male,26,Convenient Stores,8,2,1
24635139,33.44,Female,33,Superstore,6,5,1
27584479,131.57,Male,56,Online,35,8,12
28008212,20.02,Male,27,Convenient Stores,0,1,1
29130973,95.54,Female,55,Online,38,18,20
30141243,16.89,Female,20,Superstore,4,2,0
30220405,141.15,Male,39,Online,40,9,15
30626145,14.14,Male,24,Convenient Stores,5,0,1
30878724,56.52,Male,37,Superstore,10,9,7
30905466,64.07,Male,38,Online,17,6,7
31626519,65.66,Male,49,Online,15,7,6
32670208,62.64,Male,33,Superstore,16,5,3
33018508,50.17,Male,36,Superstore,18,7,6
33706059,13.52,Male,22,Superstore,5,2,2
33786344,64.26,Female,37,Superstore,13,4,4
34737162,43.41,Male,40,Superstore,15,8,8
35929790,54.97,Female,41,Online,17,18,7
35940563,11.62,Male,19,Superstore,5,4,1
36353763,45.01,Female,36,Superstore,7,8,8
36730137,58.06,Male,39,Superstore,8,7,4
37511289,34.19,Male,23,Convenient Stores,5,3,3
38827179,13.66,Female,21,Convenient Stores,8,2,1
39214743,26.56,Male,21,Convenient Stores,7,9,4
44541601,50.36,Male,23,Convenient Stores,19,13,6
44653399,21.16,Male,22,Convenient Stores,1,1,7
44934766,75.36,Female,43,Online,10,8,7
45118192,47.53,Female,47,Superstore,9,5,4
45118274,96.08,Male,59,Online,21,17,10
45307192,12.04,Female,23,Convenient Stores,3,4,3
45420558,20.72,Male,23,Convenient Stores,9,3,3
46186913,20.74,Male,22,Superstore,5,2,1
46393752,76.6,Female,64,Superstore,31,17,17
48985995,59.15,Female,48,Superstore,23,11,4
49411644,130.19,Female,52,Online,48,20,8
50139102,149.43,Female,52,Superstore,26,19,15
52117104,137.27,Female,43,Online,27,20,11
52179844,61.62,Female,52,Superstore,23,10,4
52309466,69.12,Female,35,Superstore,6,12,5
52765090,43.69,Female,31,Convenient Stores,13,8,2
59054782,84.2,Male,45,Online,48,12,10
59155794,90.82,Male,51,Online,31,23,5
60674280,87.92,Female,63,Superstore,18,13,8
61420263,62.92,Female,41,Superstore,13,9,12
61811283,87.98,Male,45,Superstore,16,7,15
61960144,12.62,Male,25,Convenient Stores,8,1,2
62507227,91.37,Male,41,Online,31,15,15
62621171,25.22,Female,26,Superstore,13,4,3
62643870,36.08,Female,31,Convenient Stores,9,3,1
64788069,60.64,Male,51,Online,10,9,4
64875209,20.43,Female,23,Convenient Stores,9,4,2
65792596,46.01,Female,22,Convenient Stores,4,6,11
65917247,103.01,Female,56,Online,39,20,14
65996907,39.51,Female,34,Superstore,12,1,9
68255594,140.6,Female,51,Online,30,19,20
68929128,102.01,Female,64,Online,18,18,15
71839111,159.47,Female,36,Online,41,15,20
73338324,53.49,Male,37,Superstore,10,12,4
73731704,62.36,Female,66,Superstore,19,15,7
74134178,25.97,Male,68,Superstore,3,3,9
74798875,86.12,Male,41,Online,41,19,11
75046274,3.4,Male,26,Convenient Stores,3,0,1
75861970,21.79,Male,28,Convenient Stores,4,6,4
77504838,4.67,Male,29,Superstore,1,1,0
77875240,76.2,Female,47,Superstore,19,13,9
78540212,15.03,Male,24,Convenient Stores,10,2,1
80372302,22.39,Male,19,Convenient Stores,9,1,3
81371987,38.01,Female,21,Superstore,5,3,3
81773389,4.58,Male,20,Convenient Stores,0,3,1
81777177,80.25,Male,68,Online,16,5,12
83815641,73.89,Male,51,Superstore,16,5,5
86596295,75.23,Female,53,Superstore,9,14,5
88907963,97.21,Female,43,Superstore,18,9,10
89074559,77.65,Female,46,Superstore,10,10,9
95961294,128.67,Female,48,Superstore,41,15,19
99666454,137.39,Male,47,Online,26,16,9
